Page,Meta description
https://docs.codacy.com/,Documentation homepage for the Codacy automated code review tool.
https://docs.codacy.com/special-thanks/,We would like to thank everyone who helped us greatly. The names on these lists contributed immensely to what Codacy is today.
https://docs.codacy.com/account/emails/,"To manage the email addresses associated with your account and your email notifications, click on your avatar on the top right-hand corner, select Your account, and open the Emails page."
https://docs.codacy.com/account/managing-your-profile/,"To manage your profile information such as your name and avatar, click on your avatar on the top right-hand corner and select Your account."
https://docs.codacy.com/chart/,Install and configure Codacy Self-hosted on Kubernetes or MicroK8s.
https://docs.codacy.com/chart/requirements/,Before installing Codacy Self-hosted you must ensure that you have your infrastructure correctly provisioned and configured.
https://docs.codacy.com/chart/configuration/monitoring/,Instructions on how to set up monitoring for your Codacy Self-hosted instance.
https://docs.codacy.com/chart/configuration/integrations/bitbucket-cloud/,Instructions on how to set up the Codacy Self-hosted integration with Bitbucket Cloud.
https://docs.codacy.com/chart/configuration/integrations/bitbucket-server/,Instructions on how to set up the Codacy Self-hosted integration with Bitbucket Server.
https://docs.codacy.com/chart/configuration/integrations/email/,Instructions on how to set up Codacy Self-hosted to send emails using your SMTP server.
https://docs.codacy.com/chart/configuration/integrations/github-app-create/,You must create and correctly set up a GitHub App to allow Codacy Self-hosted to integrate with GitHub.
https://docs.codacy.com/chart/configuration/integrations/github-cloud/,Instructions on how to set up the Codacy Self-hosted integration with GitHub Cloud.
https://docs.codacy.com/chart/configuration/integrations/github-enterprise/,Instructions on how to set up the Codacy Self-hosted integration with GitHub Enterprise.
https://docs.codacy.com/chart/configuration/integrations/gitlab-cloud/,Instructions on how to set up the Codacy Self-hosted integration with GitLab Cloud.
https://docs.codacy.com/chart/configuration/integrations/gitlab-enterprise/,Instructions on how to set up the Codacy Self-hosted integration with GitLab Enterprise.
https://docs.codacy.com/chart/infrastructure/eks-quickstart/,"Follow the instructions below to set up an Amazon EKS cluster from scratch, including the necessary underlying infrastructure, using Terraform."
https://docs.codacy.com/chart/infrastructure/microk8s-quickstart/,"Follow the instructions below to set up a MicroK8s instance from scratch, including all the necessary dependencies and configurations."
https://docs.codacy.com/chart/maintenance/database/,Instructions on how to migrate your Codacy Self-hosted database.
https://docs.codacy.com/chart/maintenance/license/,Some changes to your Codacy plan require that you update your Codacy Self-hosted license with a new one provided by a Codacy representative.
https://docs.codacy.com/chart/maintenance/uninstall/,To ensure a clean removal you should uninstall Codacy Self-hosted before destroying the cluster.
https://docs.codacy.com/chart/maintenance/upgrade/,Instructions on how to upgrade Codacy Self-hosted to the latest stable version.
https://docs.codacy.com/chart/troubleshoot/k8s-cheatsheet/,Useful helm and kubectl commands to help troubleshoot your Codacy Self-hosted instance.
